keyword,#Results,Link
"""I Am Malala (Young Readers Edition)"" ""Patricia McCormick,Malala Yousafzai""",,https://www.coursehero.com/search/results/1215534551/f00897236e000c4214/
"""Restart"" ""Gordon Korman""",24,https://www.coursehero.com/search/results/1215534670/4b9593e2ddec6c8c20/
"""The Night Watchman"" ""Louise Erdrich""",33,https://www.coursehero.com/search/results/1215534765/18b05c37dbf02ea8db/
"""The Ballad of Songbirds and Snakes"" ""Suzanne Collins""",65,https://www.coursehero.com/search/results/1215534874/f2ce63f33765866c2e/
"""Art"" ""Yasmina Reza""",270,https://www.coursehero.com/search/results/1215534958/9379dc595f82b940cd/
"""Goodnight Moon"" ""Margaret Wise Brown""",461,https://www.coursehero.com/search/results/1215535062/42eda110665e336e9f/
"""The Ladies' Paradise"" ""Émile Zola,Transl. Robin Buss,Transl. Brian Nelson""",,https://www.coursehero.com/search/results/1215535118/8c66aae95e154715e4/
"""Oh, The Places You'll Go"" ""Dr. Seuss""",766,https://www.coursehero.com/search/results/1215535260/673bda51d72f29898e/
"""Robert Gray: Poems"" ""Robert Gray""",9,https://www.coursehero.com/search/results/1215535351/0a0addbc4d3ef0f200/
"""1984"" ""george orwell""",24841,https://www.coursehero.com/search/results/1215535407/5702e611aadf7276b4/
