keyword,#Results,Link
"""Endurance"" ""Alfred Lansing""",107.0,https://www.coursehero.com/search/results/1216641754/d5707625d258eabd29/
"""Pax"" ""Sara Pennypacker""",22.0,https://www.coursehero.com/search/results/1216641872/4e0109151633f57cb9/
"""The House Behind the Cedars"" ""Charles W. Chesnutt""",52.0,https://www.coursehero.com/search/results/1216641995/4ce2395848a3134509/
"""Scythe"" ""Neal Shusterman""",120.0,https://www.coursehero.com/search/results/1216642135/d9deb8c8ff58820eb6/
"""The Dutch House"" ""Ann Patchett""",16.0,https://www.coursehero.com/search/results/1216642261/1814d39082d0043c90/
"""The Secret History"" ""Donna Tartt""",182.0,https://www.coursehero.com/search/results/1216642402/e58d6625b6b170e073/
"""Fish in a Tree"" ""Lynda Mullaly Hunt""",38.0,https://www.coursehero.com/search/results/1216642541/c60806b4bce8d0fbea/
"""A Tale For The Time Being"" ""Ruth Ozeki""",69.0,https://www.coursehero.com/search/results/1216642681/9758a7e3bec70a84b0/
"""Before We Were Free"" ""Julia Alvarez""",87.0,https://www.coursehero.com/search/results/1216642816/97f1f6dc61acd385b6/
"""Mississippi Trial, 1955"" ""Chris Crowe""",16.0,https://www.coursehero.com/search/results/1216642966/ed152d7fc16c4ec050/
"""Neverwhere"" ""Neil Gaiman""",206.0,https://www.coursehero.com/search/results/1216643165/1cc21115efbd0b6282/
"""The Crossover"" ""Kwame Alexander""",170.0,https://www.coursehero.com/search/results/1216643300/e1b579832e92195e4a/
"""Refugee"" ""Alan Gratz""",153.0,https://www.coursehero.com/search/results/1216643459/b25620f03e151c5f70/
"""The Underdogs"" ""Mariano Azuela""",198.0,https://www.coursehero.com/search/results/1216643608/2adc04e4a4a82a2ca1/
"""The Water Knife"" ""Paolo Bacigalupi""",50.0,https://www.coursehero.com/search/results/1216643728/748a1aa3bb819e3800/
"""Ghost"" ""Jason Reynolds""",210.0,https://www.coursehero.com/search/results/1217466401/415ea0d8d164c16511/
